GEO_ID,NAME,S1401_C01_010E
48001,"Anderson County, Texas",3015
48003,"Andrews County, Texas",444
48005,"Angelina County, Texas",3827
48007,"Aransas County, Texas",658
48009,"Archer County, Texas",331
48011,"Armstrong County, Texas",137
48013,"Atascosa County, Texas",1588
48015,"Austin County, Texas",1331
48017,"Bailey County, Texas",136
48019,"Bandera County, Texas",703
48021,"Bastrop County, Texas",2874
48023,"Baylor County, Texas",180
48025,"Bee County, Texas",1910
48027,"Bell County, Texas",28475
48029,"Bexar County, Texas",144695
48031,"Blanco County, Texas",443
48033,"Borden County, Texas",19
48035,"Bosque County, Texas",731
48037,"Bowie County, Texas",4923
48039,"Brazoria County, Texas",21097
48041,"Brazos County, Texas",57783
48043,"Brewster County, Texas",594
48045,"Briscoe County, Texas",68
48047,"Brooks County, Texas",323
48049,"Brown County, Texas",1809
48051,"Burleson County, Texas",528
48053,"Burnet County, Texas",1218
48055,"Caldwell County, Texas",1659
48057,"Calhoun County, Texas",670
48059,"Callahan County, Texas",311
48061,"Cameron County, Texas",20457
48063,"Camp County, Texas",574
48065,"Carson County, Texas",140
48067,"Cass County, Texas",872
48069,"Castro County, Texas",240
48071,"Chambers County, Texas",2448
48073,"Cherokee County, Texas",2497
48075,"Childress County, Texas",157
48077,"Clay County, Texas",485
48079,"Cochran County, Texas",72
48081,"Coke County, Texas",71
48083,"Coleman County, Texas",125
48085,"Collin County, Texas",61625
48087,"Collingsworth County, Texas",67
48089,"Colorado County, Texas",761
48091,"Comal County, Texas",6247
48093,"Comanche County, Texas",362
48095,"Concho County, Texas",64
48097,"Cooke County, Texas",1812
48099,"Coryell County, Texas",5184
48101,"Cottle County, Texas",32
48103,"Crane County, Texas",172
48105,"Crockett County, Texas",81
48107,"Crosby County, Texas",126
48109,"Culberson County, Texas",13
48111,"Dallam County, Texas",156
48113,"Dallas County, Texas",150627
48115,"Dawson County, Texas",546
48117,"Deaf Smith County, Texas",944
48119,"Delta County, Texas",263
48121,"Denton County, Texas",68892
48123,"DeWitt County, Texas",418
48125,"Dickens County, Texas",24
48127,"Dimmit County, Texas",429
48129,"Donley County, Texas",342
48131,"Duval County, Texas",333
48133,"Eastland County, Texas",1317
48135,"Ector County, Texas",8403
48137,"Edwards County, Texas",0
48139,"Ellis County, Texas",9697
48141,"El Paso County, Texas",74280
48143,"Erath County, Texas",7194
48145,"Falls County, Texas",559
48147,"Fannin County, Texas",1399
48149,"Fayette County, Texas",807
48151,"Fisher County, Texas",142
48153,"Floyd County, Texas",131
48155,"Foard County, Texas",53
48157,"Fort Bend County, Texas",52572
48159,"Franklin County, Texas",616
48161,"Freestone County, Texas",492
48163,"Frio County, Texas",821
48165,"Gaines County, Texas",441
48167,"Galveston County, Texas",22266
48169,"Garza County, Texas",229
48171,"Gillespie County, Texas",512
48173,"Glasscock County, Texas",86
48175,"Goliad County, Texas",308
48177,"Gonzales County, Texas",429
48179,"Gray County, Texas",630
48181,"Grayson County, Texas",7616
48183,"Gregg County, Texas",6278
48185,"Grimes County, Texas",985
48187,"Guadalupe County, Texas",9203
48189,"Hale County, Texas",1587
48191,"Hall County, Texas",73
48193,"Hamilton County, Texas",329
48195,"Hansford County, Texas",188
48197,"Hardeman County, Texas",88
48199,"Hardin County, Texas",2155
48201,"Harris County, Texas",306457
48203,"Harrison County, Texas",2917
48205,"Hartley County, Texas",61
48207,"Haskell County, Texas",157
48209,"Hays County, Texas",29283
48211,"Hemphill County, Texas",122
48213,"Henderson County, Texas",3013
48215,"Hidalgo County, Texas",51886
48217,"Hill County, Texas",1537
48219,"Hockley County, Texas",1564
48221,"Hood County, Texas",1811
48223,"Hopkins County, Texas",1380
48225,"Houston County, Texas",869
48227,"Howard County, Texas",1289
48229,"Hudspeth County, Texas",69
48231,"Hunt County, Texas",6401
48233,"Hutchinson County, Texas",975
48235,"Irion County, Texas",77
48237,"Jack County, Texas",152
48239,"Jackson County, Texas",520
48241,"Jasper County, Texas",753
48243,"Jeff Davis County, Texas",74
48245,"Jefferson County, Texas",13720
48247,"Jim Hogg County, Texas",113
48249,"Jim Wells County, Texas",1689
48251,"Johnson County, Texas",6298
48253,"Jones County, Texas",451
48255,"Karnes County, Texas",421
48257,"Kaufman County, Texas",6390
48259,"Kendall County, Texas",1510
48261,"Kenedy County, Texas",8
48263,"Kent County, Texas",3
48265,"Kerr County, Texas",1814
48267,"Kimble County, Texas",42
48269,"King County, Texas",4
48271,"Kinney County, Texas",265
48273,"Kleberg County, Texas",4907
48275,"Knox County, Texas",105
48277,"Lamar County, Texas",2227
48279,"Lamb County, Texas",428
48281,"Lampasas County, Texas",965
48283,"La Salle County, Texas",339
48285,"Lavaca County, Texas",722
48287,"Lee County, Texas",639
48289,"Leon County, Texas",524
48291,"Liberty County, Texas",2362
48293,"Limestone County, Texas",707
48295,"Lipscomb County, Texas",54
48297,"Live Oak County, Texas",196
48299,"Llano County, Texas",321
48301,"Loving County, Texas",0
48303,"Lubbock County, Texas",43980
48305,"Lynn County, Texas",222
48307,"McCulloch County, Texas",155
48309,"McLennan County, Texas",26903
48311,"McMullen County, Texas",33
48313,"Madison County, Texas",376
48315,"Marion County, Texas",209
48317,"Martin County, Texas",203
48319,"Mason County, Texas",14
48321,"Matagorda County, Texas",1426
48323,"Maverick County, Texas",1943
48325,"Medina County, Texas",2229
48327,"Menard County, Texas",18
48329,"Midland County, Texas",9269
48331,"Milam County, Texas",826
48333,"Mills County, Texas",122
48335,"Mitchell County, Texas",272
48337,"Montague County, Texas",547
48339,"Montgomery County, Texas",27254
48341,"Moore County, Texas",749
48343,"Morris County, Texas",437
48345,"Motley County, Texas",23
48347,"Nacogdoches County, Texas",10686
48349,"Navarro County, Texas",2062
48351,"Newton County, Texas",247
48353,"Nolan County, Texas",327
48355,"Nueces County, Texas",22046
48357,"Ochiltree County, Texas",298
48359,"Oldham County, Texas",54
48361,"Orange County, Texas",3763
48363,"Palo Pinto County, Texas",812
48365,"Panola County, Texas",1058
48367,"Parker County, Texas",6153
48369,"Parmer County, Texas",297
48371,"Pecos County, Texas",528
48373,"Polk County, Texas",1307
48375,"Potter County, Texas",6128
48377,"Presidio County, Texas",226
48379,"Rains County, Texas",243
48381,"Randall County, Texas",11002
48383,"Reagan County, Texas",50
48385,"Real County, Texas",51
48387,"Red River County, Texas",357
48389,"Reeves County, Texas",485
48391,"Refugio County, Texas",256
48393,"Roberts County, Texas",15
48395,"Robertson County, Texas",705
48397,"Rockwall County, Texas",5293
48399,"Runnels County, Texas",201
48401,"Rusk County, Texas",1738
48403,"Sabine County, Texas",263
48405,"San Augustine County, Texas",219
48407,"San Jacinto County, Texas",587
48409,"San Patricio County, Texas",2299
48411,"San Saba County, Texas",174
48413,"Schleicher County, Texas",80
48415,"Scurry County, Texas",849
48417,"Shackelford County, Texas",140
48419,"Shelby County, Texas",668
48421,"Sherman County, Texas",172
48423,"Smith County, Texas",15082
48425,"Somervell County, Texas",186
48427,"Starr County, Texas",3269
48429,"Stephens County, Texas",235
48431,"Sterling County, Texas",2
48433,"Stonewall County, Texas",48
48435,"Sutton County, Texas",72
48437,"Swisher County, Texas",398
48439,"Tarrant County, Texas",137508
48441,"Taylor County, Texas",12395
48443,"Terrell County, Texas",0
48445,"Terry County, Texas",376
48447,"Throckmorton County, Texas",45
48449,"Titus County, Texas",1299
48451,"Tom Green County, Texas",9276
48453,"Travis County, Texas",100977
48455,"Trinity County, Texas",325
48457,"Tyler County, Texas",496
48459,"Upshur County, Texas",1680
48461,"Upton County, Texas",136
48463,"Uvalde County, Texas",1170
48465,"Val Verde County, Texas",2510
48467,"Van Zandt County, Texas",1774
48469,"Victoria County, Texas",4066
48471,"Walker County, Texas",12447
48473,"Waller County, Texas",7790
48475,"Ward County, Texas",182
48477,"Washington County, Texas",2839
48479,"Webb County, Texas",16965
48481,"Wharton County, Texas",1680
48483,"Wheeler County, Texas",151
48485,"Wichita County, Texas",9303
48487,"Wilbarger County, Texas",617
48489,"Willacy County, Texas",848
48491,"Williamson County, Texas",29923
48493,"Wilson County, Texas",1776
48495,"Winkler County, Texas",122
48497,"Wise County, Texas",2545
48499,"Wood County, Texas",1900
48501,"Yoakum County, Texas",239
48503,"Young County, Texas",489
48505,"Zapata County, Texas",195
48507,"Zavala County, Texas",235
